history,nohistory,2d,text
1.0,0.0,0.0,2.5
1.95454545455,1.23076923077,0.0,2.53333333333
2.0,1.5,0.5,2.55555555556
2.09090909091,1.66666666667,1.0,2.66666666667
2.16666666667,1.88888888889,1.66666666667,2.66666666667
2.55555555556,2.125,1.88888888889,2.77272727273
2.72727272727,2.2,1.95454545455,2.8
2.77272727273,2.31578947368,2.09090909091,2.875
2.78571428571,2.45454545455,2.16666666667,2.93333333333
2.92307692308,2.5,2.31578947368,3.18181818182
2.92592592593,2.5,2.45454545455,3.1875
2.93333333333,2.66666666667,2.5,3.25
3.0,2.66666666667,2.66666666667,3.33333333333
3.05555555556,2.68965517241,2.72727272727,3.38888888889
3.18181818182,2.75,2.75,3.4
3.25,3.07142857143,2.78571428571,3.46666666667
3.28571428571,3.11111111111,2.92307692308,3.5
3.33333333333,3.2037037037,2.92592592593,3.5
3.38888888889,3.30769230769,3.0,3.54545454545
3.4,3.33333333333,3.05555555556,3.58620689655
3.45454545455,3.33333333333,3.2037037037,3.6
3.5,3.375,3.28571428571,3.66666666667
3.5,3.58823529412,3.30769230769,3.72727272727
3.54545454545,3.63636363636,3.33333333333,3.75
3.55555555556,3.73333333333,3.33333333333,3.75
3.66666666667,3.75,3.45454545455,3.79166666667
3.75,3.75,3.55555555556,3.80357142857
3.75,3.84,3.63636363636,3.9375
3.75,3.85,3.75,4.0
3.8,3.86842105263,3.75,4.0
3.85714285714,3.90909090909,3.8,4.0
3.875,3.96428571429,3.84,4.05263157895
3.88888888889,4.04347826087,3.85714285714,4.07142857143
3.88888888889,4.08928571429,3.875,4.125
3.94117647059,4.18181818182,3.88888888889,4.13333333333
4.0,4.22727272727,3.88888888889,4.2
4.0,4.28,3.94117647059,4.2
4.0,4.28571428571,3.96428571429,4.2
4.05263157895,4.33333333333,4.0,4.30769230769
4.07142857143,4.33333333333,4.0,4.38888888889
4.07692307692,4.33333333333,4.07692307692,4.41666666667
4.125,4.35714285714,4.14285714286,4.42857142857
4.13333333333,4.38461538462,4.18181818182,4.45454545455
4.14285714286,4.45454545455,4.25,4.5
4.2,4.48148148148,4.28,4.52380952381
4.2,4.5,4.28571428571,4.6
4.25,4.5,4.35714285714,4.68181818182
4.4,4.5652173913,4.38461538462,4.77272727273
4.41666666667,4.60869565217,4.4,4.8
4.5,4.68421052632,4.48148148148,4.83333333333
4.54545454545,4.72727272727,4.5,4.83333333333
4.66666666667,4.82142857143,4.54545454545,5.0
4.68181818182,4.83333333333,4.66666666667,5.0
4.77272727273,4.83333333333,4.83333333333,5.25
4.8,4.86956521739,5.0,5.34782608696
4.83333333333,5.0,5.0,5.47368421053
5.0,5.0,5.0,5.5
5.0,5.21428571429,5.2,5.5
5.2,5.4,5.21428571429,5.55555555556
5.25,5.47826086957,5.25,5.7
5.42857142857,5.5,5.4,5.8
5.5,5.55555555556,5.42857142857,5.83333333333
5.7,5.58823529412,5.55555555556,5.86666666667
5.8,5.72727272727,5.72727272727,6.0
5.83333333333,5.76923076923,5.76923076923,6.2
5.85714285714,6.0,5.85714285714,6.28571428571
5.86666666667,6.42857142857,6.0,6.33333333333
6.0,6.9,6.0,6.4
6.28571428571,7.0,6.33333333333,6.75
6.33333333333,7.25,6.5,7.0
6.33333333333,7.81818181818,6.88888888889,7.0
