history-2d,nohistory-2d,history-text,nohistory-text
1.0,-1,2.55555555556,1.5
1.95454545455,0.0,2.77272727273,2.125
2.09090909091,1.66666666667,2.93333333333,2.2
2.16666666667,1.88888888889,3.18181818182,2.5
2.72727272727,2.31578947368,3.25,2.68965517241
2.92307692308,2.45454545455,3.33333333333,3.07142857143
2.92592592593,2.5,3.38888888889,3.11111111111
3.0,2.66666666667,3.4,3.375
3.05555555556,2.75,3.5,3.58823529412
3.28571428571,3.2037037037,3.5,3.73333333333
3.45454545455,3.30769230769,3.54545454545,3.75
3.55555555556,3.33333333333,3.66666666667,3.85
3.75,3.33333333333,3.75,3.86842105263
3.8,3.63636363636,3.75,3.90909090909
3.85714285714,3.75,4.0,4.04347826087
3.875,3.84,4.05263157895,4.08928571429
3.88888888889,3.96428571429,4.07142857143,4.22727272727
3.88888888889,4.18181818182,4.125,4.33333333333
3.94117647059,4.28,4.13333333333,4.33333333333
4.0,4.28571428571,4.2,4.33333333333
4.0,4.35714285714,4.2,4.45454545455
4.07692307692,4.38461538462,4.41666666667,4.5
4.14285714286,4.48148148148,4.5,4.5652173913
4.25,4.5,4.68181818182,4.60869565217
4.4,4.83333333333,4.77272727273,4.68421052632
4.54545454545,5.0,4.8,4.82142857143
4.66666666667,5.0,4.83333333333,4.83333333333
5.0,5.21428571429,5.0,4.86956521739
5.2,5.4,5.5,5.47826086957
5.42857142857,5.55555555556,5.7,5.58823529412
5.85714285714,5.72727272727,5.8,6.42857142857
6.0,5.76923076923,5.83333333333,6.9
6.33333333333,6.0,5.86666666667,7.0
6.5,10.0,6.28571428571,7.25
