unprimed-text,unprimed-2d,primed-text,primed-2d
0.0819082461282,0.0422577127364,0.0607176740719,0.0238095238095
0.0944261456359,0.0169030850946,0.115396746002,0.0983223773786
0.0787708439716,0.0232725914946,0.123490913975,0.207735026919
0.0959122014182,0.0406557814091,0.0826284422715,0.068632963476
0.0505038852543,0.0286887655275,0.0756149008709,0.0210818510678
0.134258562429,0.0464377788321,0.310529501704,0.316227766017
0.0888497256991,0.0419291978339,0.323734056976,0.112322630164
0.143998603059,0.0188538111549,0.128571781059,0.0705716222831
0.122297977897,0.0757409476445,0.0755928946018,0.0169030850946
0.067368702574,0.0634834734214,0.0716020575645,0.0316227766017
0.0539144223462,0.0551669145174,0.19245008973,0.255833636801
0.104694087047,0.0532781729893,0.225983456145,0.0968902972096
0.076498762732,0.0131533410441,0.0538853809209,0.0749941288133
0.0622964599293,0.0477876069858,0.153308172196,0.0180421959122
0.0754899209302,0.0984941544197,0.147756380494,0.0796483614902
0.0664879247351,0.0158433863116,0.0606894230586,0.0540762915122
0.083561909687,0.0625120731792,0.116459253723,0.283473354757
0.00978638483157,0.00666666666667,0.0360374985078,0.139384685012
0.0636662494089,0.0374234201017,0.2251334987,0.125423496144
0.0542579498101,0.0264623541291,0.09583148475,0.0886878046437
0.0541562670566,0.0286272605795,0.129099444874,0.116642368704
