history-2d,nohistory-2d,history-text,nohistory-text
2.42857142857,1.0,1.8,1.66666666667
2.5,1.0,2.33333333333,2.77777777778
2.66666666667,1.0,2.82926829268,2.8
2.66666666667,2.09090909091,3.07692307692,3.0
3.38461538462,2.14285714286,3.25,3.14285714286
3.45454545455,2.22222222222,3.31818181818,3.25
3.45454545455,2.77777777778,3.4347826087,3.5
3.45833333333,2.88888888889,3.8,3.625
3.66666666667,3.4,3.8,3.88888888889
3.66666666667,3.58333333333,4.0,3.92
3.66666666667,3.75,4.05882352941,3.95652173913
3.75,4.0,4.1,4.0
4.17647058824,4.2,4.125,4.0
4.25,4.2,4.375,4.22727272727
4.25,4.4,4.46153846154,4.42857142857
4.28571428571,4.4,4.5,4.55555555556
4.4,4.5,4.52631578947,4.6
4.54545454545,4.53846153846,4.52941176471,4.6
4.63636363636,4.66666666667,4.55555555556,4.625
4.7,4.77777777778,4.57142857143,5.0
5.0,4.77777777778,4.57142857143,5.38461538462
5.125,4.8,4.66666666667,5.5
5.16666666667,4.85714285714,4.66666666667,5.64285714286
5.28571428571,4.91666666667,4.88888888889,5.69230769231
6.33333333333,5.25,5.33333333333,7.0
7.0,5.5,5.66666666667,7.0
7.0,5.57142857143,6.0,7.90909090909
