history-2d,history-text
0,0
0,0
0,0
0,0
0,0
0,0
1,0
2,0
2,0
2,0
2,0
2,0
3,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
5,0
6,0
7,0
7,0
7,0
7,1
9,1
9,1
9,2
9,2
10,2
10,2
12,3
15,3
18,4
19,4
